,Asynchrony,Tap Onset,Test,True Onset,Sanitized Tap Onset,Sanitized Asynchrony
0,-0.494169,2018-04-26 21:34:02.914766,A3a1,2018-04-26 21:34:03.408935,2018-04-26 21:34:02.914766,-0.494169
1,1.0465980000000001,2018-04-26 21:34:05.523651,A3a1,2018-04-26 21:34:04.477053,2018-04-26 21:34:02.914766,-1.5622870000000002
2,0.8095770000000001,2018-04-26 21:34:06.819147,A3a1,2018-04-26 21:34:06.009570,2018-04-26 21:34:06.819147,0.8095770000000001
3,1.789833,2018-04-26 21:34:09.564119,A3a1,2018-04-26 21:34:07.774286,2018-04-26 21:34:06.819147,-0.9551390000000001
4,1.471224,2018-04-26 21:34:10.383288,A3a1,2018-04-26 21:34:08.912064,2018-04-26 21:34:09.564119,0.652055
5,3.9561520000000003,2018-04-26 21:34:13.866674,A3a1,2018-04-26 21:34:09.910522,2018-04-26 21:34:10.383288,0.472766
6,4.612805000000001,2018-04-26 21:34:15.568225,A3a1,2018-04-26 21:34:10.955420,2018-04-26 21:34:13.866674,2.911254
7,3.949583,2018-04-26 21:34:16.576840,A3a1,2018-04-26 21:34:12.627257,2018-04-26 21:34:15.568225,2.9409680000000002
8,4.677396,2018-04-26 21:34:18.651410,A3a1,2018-04-26 21:34:13.974014,2018-04-26 21:34:16.576840,2.6028260000000003
9,3.7032220000000002,2018-04-26 21:34:18.745354,A3a1,2018-04-26 21:34:15.042132,2018-04-26 21:34:18.651410,3.609278
10,3.2897930000000004,2018-04-26 21:34:19.887662,A3a1,2018-04-26 21:34:16.597869,2018-04-26 21:34:18.745354,2.147485
11,2.45439,2018-04-26 21:34:20.933075,A3a1,2018-04-26 21:34:18.478685,2018-04-26 21:34:19.887662,1.4089770000000001
12,7.729572,2018-04-26 21:34:27.438915,A3a1,2018-04-26 21:34:19.709343,2018-04-26 21:34:20.933075,1.223732
13,8.591109000000001,2018-04-26 21:34:29.322130,A3a1,2018-04-26 21:34:20.731021,2018-04-26 21:34:27.438915,6.7078940000000005
14,7.955411000000001,2018-04-26 21:34:29.940310,A3a1,2018-04-26 21:34:21.984899,2018-04-26 21:34:29.322130,7.337231
15,4.067289000000001,2018-04-26 21:34:30.533723,H1a3,2018-04-26 21:34:26.466434,2018-04-26 21:34:29.940310,3.473876
16,4.733312000000001,2018-04-26 21:34:31.647646,H1a3,2018-04-26 21:34:26.914334,2018-04-26 21:34:30.533723,3.6193890000000004
